common_name,scientific_name,genus,species,family,stop1,stop2,stop3,stop4,stop5,stop6,stop7,stop8,stop9,stop10,stop11,stop12,stop13,stop14,stop15,stop16,stop17,total_count,observation_year
Yellow-bellied Flycatcher,Empidonax flaviventris,Empidonax,flaviventris,Tyrannidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Yellow-bellied Sapsucker,Sphyrapicus varius,Sphyrapicus,varius,Picidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Xanthocephalus,xanthocephalus,Icteridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Yellow-rumped Warbler,Dendroica coronata,Dendroica,coronata,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Yellow-throated Vireo,Vireo flavifrons,Vireo,flavifrons,Vireonidae,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2021
number of birds counted per stop,,,,,18,17,22,18,15,13,14,4,10,13,13,8,15,10,13,15,16,234,2021
number of species per stop,,,,,9,16,13,17,12,12,7,3,9,10,12,6,12,8,9,12,14,0,2021
Alder Flycatcher,Empidonax alnorum,Empidonax,alnorum,Tyrannidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
American Crow,Corvus brachyrhynchos,Corvus,brachyrhynchos,Corvidae,1,2,1,1,4,1,2,0,0,1,0,0,1,0,0,4,1,19,2022
American Goldfinch,Carduelis tristis,Carduelis,tristis,Fringillidae,0,0,0,2,2,3,0,1,0,1,0,0,2,0,1,0,1,13,2022
American Kestrel,Falco sparverius,Falco,sparverius,Falconidae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022
American Redstart,Setophaga ruticilla,Setophaga,ruticilla,Parulidae,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2022
American Robin,Turdus migratorius,Turdus,migratorius,Turdidae,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,6,2022
American White Pelican,Pelecanus erythrorhynchos,Pelecanus,erythrorhynchos,Pelecanidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
Bald Eagle,Haliaeetus leucocephalus,Haliaeetus,leucocephalus,Accipitridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
Baltimore oriole,Icterus galbula,Icterus,galbula,Icteridae,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,10,2022
